,sum_sq,df,F,PR(>F)
C(model),3010.019223333322,2.0,11.526255030174351,8.163633556834228e-05
C(dataset),3265.854758888883,3.0,8.337283374727766,0.00014480974156786368
C(model):C(dataset),509.57459111111126,6.0,0.6504373403457463,0.6894884719152121
Residual,6267.470325,48.0,,
